time,paw,flow,vol,pmus
83.74,8.87599272808743,-0.130810053118762,0.0512365136666731,-0.09381533
83.75,8.83474600519524,-0.126825738951821,0.05010454237671,-0.09648882
83.76,8.81265718980997,-0.12106580259904,0.049004732185093,-0.09842916
83.77,8.84715321141429,-0.117242590448177,0.0479351592800155,-0.09960574
83.78,8.85111972418115,-0.105598514444341,0.0468938498033711,-0.09995729
83.79,8.88098571319285,-0.101746057192034,0.0458792380031084,-0.1
83.8,8.88793548347487,-0.104578057330427,0.0448901311732709,-0.09995729
83.81,8.86432896302041,-0.0966828621903866,0.0439253249674911,-0.09982922
83.82,8.89996772814911,-0.0938926230469898,0.0429836064364645,-0.09961603
83.83,8.86726469649465,-0.0955500284889013,0.0420639151424049,-0.09931807
83.84,8.81734746241057,-0.0893225651955854,0.0411653531502807,-0.09893584
83.85,8.78418086510268,-0.0865004140054036,0.0402871424306067,-0.09847001
83.86,8.79170608155589,-0.0839207144900154,0.0394285753864673,-0.09792137
83.87,8.87824590042224,-0.0716984084155405,0.038588979364919,-0.09729086
83.88,8.90153531049512,-0.0710573999747808,0.0377676983673007,-0.09657955
83.89,8.84162673878207,-0.0585206137088643,0.0369640864189591,-0.09578867
83.9,8.84646132922857,-0.0488908392721767,0.0361775096583996,-0.09491955
83.91,8.86994580959606,-0.0493438288628671,0.0354073487650483,-0.09397369
83.92,8.8859378765522,-0.042700773576117,0.0346530020769562,-0.0929527
83.93,8.85312766200536,-0.0404293356188574,0.0339138877045246,-0.09185832
83.94,8.8072642590912,-0.0385272912932529,0.0331894434746234,-0.09069244
83.95,8.78659292404038,-0.0440073313412577,0.0324791327200706,-0.08945703
83.96,8.8224819760232,-0.0531452507698105,0.0317824246685834,-0.0881542
83.97,8.83903066187256,-0.0539208495077334,0.0310988200738905,-0.0867862
83.98,8.84014967861743,-0.0481662994449948,0.0304278354026252,-0.08535534
83.99,8.85448258997762,-0.0508318210945278,0.0297690053127587,-0.08386408
84,8.852856660484,-0.0490668929315263,0.0291218823652592,-0.08231496
84.01,8.87758602795737,-0.0479903024160609,0.0284860369425141,-0.08071064
84.02,8.91606170759686,-0.0424465587710015,0.0278610570091634,-0.07905384
84.03,8.95128386259657,-0.044772473951731,0.0272465477662038,-0.07734741
84.04,8.95539711778003,-0.0423212918030444,0.0266421313611673,-0.07559425
84.05,8.96343580900671,-0.0416571024737121,0.0260474465750038,-0.07379737
84.06,8.98431295340557,-0.0383501003074648,0.0254621484396856,-0.07195983
84.07,8.97554989241751,-0.0439498444685687,0.0248859078811364,-0.07008477
84.08,8.90652095141656,-0.0520354743044633,0.0243184114413215,-0.0681754
84.09,8.89675510096818,-0.0625619002915736,0.0237593608382965,-0.06623497
84.1,8.89079704111525,-0.0573635089264459,0.0232084726916507,-0.06426681
84.11,8.92500685936851,-0.0626708011674472,0.022665481570351,-0.06227427
84.12,8.9065479081077,-0.0581349060178027,0.022130129186921,-0.06026077
84.13,8.89267921359642,-0.062389567683709,0.0216021713768325,-0.05822973
84.14,8.86639555265071,-0.0585241719789165,0.0210813839989904,-0.05618463
84.15,8.90544032415496,-0.050218474676793,0.0205675526510187,-0.05412897
84.16,8.87029245398178,-0.0404556638030021,0.0200604754992953,-0.05206625
84.17,8.85096155281496,-0.0368012475546232,0.0195599631357196,-0.05
84.18,8.85388469036024,-0.0279379292042097,0.0190658381008737,-0.04793375
84.19,8.85610827452047,-0.0305240453952405,0.0185779345649486,-0.04587103
84.2,8.85490004635452,-0.0272778394772493,0.0180960979157316,-0.04381537
84.21,8.85553434527621,-0.0308864659924027,0.017620184363351,-0.04177027
84.22,8.84354586879342,-0.0372403438898423,0.017150060596988,-0.03973923
84.23,8.86827044935049,-0.043355523141367,0.0166856034531446,-0.03772573
84.24,8.89444198326481,-0.0453939396462992,0.0162266994857422,-0.03573319
84.25,8.79634548815486,-0.0533063434136092,0.0157732446349416,-0.03376503
84.26,8.80043670940347,-0.051424428866044,0.0153251438730584,-0.0318246
84.27,8.78838496244538,-0.0528024027568751,0.014882310818248,-0.02991523
84.28,8.85216352520172,-0.0471288623478144,0.0144446673981104,-0.02804017
84.29,8.83433146541873,-0.0434579137446554,0.014012143218071,-0.02620263
84.3,8.82687590167093,-0.0351834468649802,0.0135846753607695,-0.02440575
84.31,8.79519786535149,-0.0326801713401782,0.0131622096321735,-0.02265259
84.32,8.8403648661881,-0.0269201596347646,0.0127446970070905,-0.02094616
84.33,8.83811089930611,-0.031227997207207,0.0123320954653625,-0.01928936
84.34,8.86937354073829,-0.0316101932363259,0.0119243692894655,-0.01768504
84.35,8.81441713892792,-0.0345322633246315,0.0115214886102086,-0.01613592
84.36,8.82890301923371,-0.0384862174399668,0.0111234290396054,-0.01464466
84.37,8.83728471293055,-0.040444205362388,0.0107301713685693,-0.0132138
84.38,8.82094411808344,-0.0451122005680386,0.0103417011794826,-0.0118458
84.39,8.84858325064638,-0.0442531398035847,0.00995800854332781,-0.01054297
84.4,8.84670925942172,-0.0402784218460708,0.00957908767789672,-0.00930756
84.41,8.82603322544733,-0.0353634613569366,0.00920493420299193,-0.00814168
84.42,8.86694447048708,-0.0453653132990849,0.00883554696196647,-0.0070473
84.43,8.86306757315713,-0.0491826228495477,0.00847093780299638,-0.00602631
84.44,8.84227409625025,-0.0545008281424141,0.00811111360378734,-0.00508045
84.45,8.85238900659049,-0.0649238696155552,0.00775608270658964,-0.00421133
84.46,8.82250133178869,-0.0665135926198491,0.00740585801049009,-0.00342045
84.47,8.80461574862286,-0.0714172328403807,0.00706045488139988,-0.00270914
84.48,8.82982640245473,-0.0595454680986795,0.00671989036926943,-0.00207863
84.49,8.75937230379054,-0.0486370759829346,0.00638418279052371,-0.00152999
84.5,8.7548165272192,-0.0393285754138162,0.00605335138222971,-0.00106416
84.51,8.78100322407487,-0.0293688773417622,0.00572741614067025,-0.00068193
84.52,8.79930045263931,-0.0168606368925632,0.00540639764205204,-0.00038397
84.53,8.81797623474215,-0.0156849831888971,0.00509031679034382,-0.00017078
84.54,8.78037412241483,-0.0149116701931931,0.00477915549697532,-0
84.55,8.73583544730378,-0.0283615694747662,0.00447299805479286,-0
84.56,8.8177675184852,-0.0280698187538366,0.00417216939740029,-0.00039426
84.57,8.82642355901169,-0.0311906975973493,0.00387736010682011,-0.00157084
84.58,8.79411646761369,-0.0300854623084413,0.00358930798843661,-0.00351118
84.59,8.75876465658166,-0.0294895922261697,0.00330865429025287,-0.00618467
84.6,8.77342440725273,-0.0291036007214825,0.00303611443415452,-0.00954915
84.61,8.8327515866976,-0.027247020057469,0.0027724780146048,-0.01355157
84.62,8.87288759763565,-0.0304761379038901,0.00251854878449954,-0.0181288
84.63,8.84763497891952,-0.0363342031658341,0.00227507490972221,-0.02320866
84.64,8.82339928226159,-0.0252907165852996,0.00204270298034105,-0.02871104
84.65,8.81689653305718,-0.0310782599949751,0.00182191275637769,-0.03454915
84.66,8.80695987696499,-0.0355665824877776,0.00161304026600135,-0.04063093
84.67,8.79696966422831,-0.0356070952911942,0.00141625074017944,-0.04686047
84.68,8.76694996887972,-0.0333923909351257,0.00123153954055327,-0.05313953
84.69,8.72392357919648,-0.0318984552112183,0.00105873599881464,-0.05936907
84.7,8.74142856392933,-0.0277882824601763,0.000897508218094333,-0.06545085
84.71,8.74793951767241,-0.0334789215582616,0.000747369639996207,-0.07128896
84.72,8.75798567116862,-0.0227180718063717,0.000607685823227899,-0.07679134
84.73,8.80965654749864,-0.021873691361443,0.000477685530857745,-0.0818712
84.74,8.78075661262389,-0.0169559117491984,0.000356472807891403,-0.08644843
84.75,8.80054747776965,-0.0141747576208147,0.000243042311306715,-0.09045085
84.76,8.86298272286665,-0.0133290985773145,0.000136296533235894,-0.09381533
84.77,8.82987054326912,-0.0162605391424975,3.50649042070786e-05,-0.09648882
84.78,8.87176320736265,-0.0143621583889884,-6.18758988551529e-05,-0.09842916
84.79,8.86200850485925,-0.024731719469848,-0.000155781136311851,-0.09960574
84.8,8.82085281752508,-0.021712723289493,-0.000247954874530748,-0.09995729
84.81,8.85566351108659,-0.0250914863518191,-0.000339247157283486,-0.1
84.82,8.82268756769324,-0.0264851371332317,-0.000430117161104734,-0.09995729
84.83,8.74523888829818,-0.0224815554482103,-0.000521090089900741,-0.09982922
84.84,8.76564745614665,-0.0114642073268356,-0.000612674550244954,-0.09961603
84.85,8.72363754660156,-0.00982166477407632,-0.000705222636506242,-0.09931807
84.86,8.70971368708448,-0.0101927823913702,-0.000798930417232543,-0.09893584
84.87,8.76778461365335,-0.0128218593657908,-0.000893888672998548,-0.09847001
84.88,8.79243649398708,-0.0155822900948274,-0.000990135151285966,-0.09792137
84.89,8.82135289123685,-0.011544601717441,-0.00108769029099341,-0.09729086
84.9,8.83406312029542,-0.00853003125775147,-0.00118657524944121,-0.09657955
84.91,8.79056007409706,-0.00739155410756402,-0.00128681768011145,-0.09578867
84.92,8.78982851320168,-0.0153811480736267,-0.00138845046888885,-0.09491955
84.93,8.82529903287021,-0.0142886581670188,-0.00149150932351897,-0.09397369
84.94,8.76365053391487,-0.0085291278357304,-0.00159602975472652,-0.0929527
84.95,8.70537604196074,-0.0050380706903062,-0.00170204520653783,-0.09185832
84.96,8.71323488913724,-0.0080889511597312,-0.00180958600886937,-0.09069244
84.97,8.69136055753939,-0.0161558039755008,-0.00191867903037773,-0.08945703
84.98,8.67774120917318,-0.0226076433981538,-0.00202934761200883,-0.0881542
84.99,8.71091116336024,-0.021288526665406,-0.00214161155335445,-0.0867862
85,8.73011099286565,-0.0148292045824114,-0.00225548719833452,-0.08535534
85.01,8.74884238543132,-0.0236677659689359,-0.00237098740311192,-0.08386408
85.02,8.77239411550579,-0.0349488182460008,-0.00248812148780404,-0.08231496
85.03,8.78672715447231,-0.0358215553651608,-0.00260689517371205,-0.08071064
85.04,8.81001687140074,-0.023327178388299,-0.00272731052515866,-0.07905384
85.05,8.8410665161298,-0.024249094566093,-0.00284936587321416,-0.07734741
85.06,8.83614626047557,-0.0217502774038146,-0.00297305576489158,-0.07559425
85.07,8.86307098527129,-0.0322148311256075,-0.00309837091807115,-0.07379737
